ITFGSM Hash Distance, MT-ITFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-ITFGSM,SSIM ITFGSM,SSIM MT-ITFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.809999942779541016e+00,1.000000000000000000e+00,9.755149483680725098e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.920000076293945312e+00,2.940000057220458984e+00,1.000000000000000000e+00,9.790360927581787109e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.690000057220458984e+00,2.599999904632568359e+00,1.000000000000000000e+00,9.770269393920898438e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.619999885559082031e+00,2.609999895095825195e+00,1.000000000000000000e+00,9.761881828308105469e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.829213023185729980e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.980000019073486328e+00,2.940000057220458984e+00,1.000000000000000000e+00,9.806296229362487793e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.710000038146972656e+00,2.589999914169311523e+00,1.000000000000000000e+00,9.838402867317199707e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.799999952316284180e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.639270901679992676e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.710000038146972656e+00,2.730000019073486328e+00,1.000000000000000000e+00,9.924356341361999512e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.029999971389770508e+00,2.960000038146972656e+00,1.000000000000000000e+00,9.797207713127136230e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.769999980926513672e+00,2.309999942779541016e+00,1.000000000000000000e+00,9.881328940391540527e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.740000009536743164e+00,2.660000085830688477e+00,1.000000000000000000e+00,9.755737185478210449e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.029999971389770508e+00,2.930000066757202148e+00,1.000000000000000000e+00,9.613881111145019531e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.920000076293945312e+00,1.000000000000000000e+00,9.694326519966125488e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.800677895545959473e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.900000095367431641e+00,2.869999885559082031e+00,1.000000000000000000e+00,9.799227714538574219e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.559999942779541016e+00,2.579999923706054688e+00,1.000000000000000000e+00,9.775450825691223145e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.839999914169311523e+00,2.630000114440917969e+00,1.000000000000000000e+00,9.761583805084228516e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.630000114440917969e+00,2.609999895095825195e+00,1.000000000000000000e+00,9.729540944099426270e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.210000038146972656e+00,1.000000000000000000e+00,9.797843098640441895e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.569999933242797852e+00,2.490000009536743164e+00,1.000000000000000000e+00,9.747486114501953125e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.839999914169311523e+00,1.000000000000000000e+00,9.756984114646911621e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.799999952316284180e+00,2.160000085830688477e+00,1.000000000000000000e+00,9.685492515563964844e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.730000019073486328e+00,2.400000095367431641e+00,1.000000000000000000e+00,9.861513972282409668e-01
